,Dataset,Column,Missing_Count,Total_Rows,Missing_Pct(%)
61,Safety_Observations,Immediate_Action,6,46,13.04
52,Safety_Observations,Observation_ID,0,46,0.0
53,Safety_Observations,Observation_Date,0,46,0.0
54,Safety_Observations,Reporter_ID,0,46,0.0
55,Safety_Observations,Observed_Person_ID,0,46,0.0
56,Safety_Observations,Equipment_Name,0,46,0.0
57,Safety_Observations,Category,0,46,0.0
58,Safety_Observations,Severity,0,46,0.0
59,Safety_Observations,Location,0,46,0.0
62,Safety_Observations,Status,0,46,0.0
51,Shift_Performance,Supervisor_Comment,8,46,17.39
37,Shift_Performance,Shift_Record_ID,0,46,0.0
38,Shift_Performance,Shift_Date,0,46,0.0
39,Shift_Performance,Shift_Code,0,46,0.0
40,Shift_Performance,Crew,0,46,0.0
41,Shift_Performance,Equipment_Name,0,46,0.0
42,Shift_Performance,Operator_ID,0,46,0.0
43,Shift_Performance,Scheduled_Hours,0,46,0.0
44,Shift_Performance,Actual_Hours,0,46,0.0
45,Shift_Performance,Loads,0,46,0.0
46,Shift_Performance,Tonnes,0,46,0.0
47,Shift_Performance,Fuel_Used,0,46,0.0
48,Shift_Performance,Fuel_Unit,0,46,0.0
49,Shift_Performance,Availability_Pct,0,46,0.0
50,Shift_Performance,Utilisation_Pct,0,46,0.0
78,Training_Records,Comment,15,46,32.61
65,Training_Records,Training_Record_ID,0,46,0.0
66,Training_Records,Operator_ID,0,46,0.0
67,Training_Records,Operator_Name,0,46,0.0
68,Training_Records,Course_Code,0,46,0.0
69,Training_Records,Course_Name,0,46,0.0
70,Training_Records,Completion_Date,0,46,0.0
71,Training_Records,Expiry_Date,0,46,0.0
72,Training_Records,Result,0,46,0.0
73,Training_Records,Score,0,46,0.0
74,Training_Records,Provider,0,46,0.0
75,Training_Records,Certificate_Number,0,46,0.0
76,Training_Records,Medical_Fitness_Code,0,46,0.0
77,Training_Records,Home_Zone,0,46,0.0
