Rule_ID,Rule_Type,Reason,Action_Type,Review_Status,Transformation_Count,Dataset_Count,Affected_Column_Count
DQ-0185,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,35,1,1
DQ-0153,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,34,1,1
DQ-0178,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,34,1,1
DQ-0114,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,34,1,1
DQ-0087,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,33,1,1
DQ-0128,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,28,1,1
DQ-0012,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,24,1,1
DQ-0040,Consistency,Unit columns control whether numeric values are comparable,AUTO_CORRECT,AUTO_CORRECT,22,1,2
DQ-0005,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,18,1,1
DQ-0101,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,15,1,1
DQ-0085,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,11,1,1
DQ-0032,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,10,1,1
DQ-0081,Consistency,Unit columns control whether numeric values are comparable,AUTO_CORRECT,AUTO_CORRECT,10,1,1
DQ-0080,Data dictionary guidance,Equipment meter value and unit,AUTO_CORRECT,AUTO_CORRECT,10,1,1
DQ-0144,Validity,Profile shows date/time-like field requiring consistent parsing,AUTO_CORRECT,AUTO_CORRECT,10,1,1
DQ-0142,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,9,1,1
DQ-0161,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,9,1,1
DQ-0077,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,9,1,1
DQ-0116,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,9,1,1
DQ-0068,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0051,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0017,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0042,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0121,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0094,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0168,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0147,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
DQ-0172,Data dictionary guidance,Shift fuel usage,AUTO_CORRECT,AUTO_CORRECT,1,1,1
DQ-0171,Consistency,Unit columns control whether numeric values are comparable,AUTO_CORRECT,AUTO_CORRECT,1,1,1
DQ-0187,Validity,Profile shows a small set of repeated categorical values,AUTO_CORRECT,AUTO_CORRECT,1,1,1
DQ-0190,Uniqueness,Exact duplicate rows can inflate operational counts,EXCLUDE_DUPLICATE_ROW,AUTO_ACCEPT,1,1,1
