Notification_ID,Equipment_Name,Raised_Date,Priority,Notification_Type,Fault_Code,Description,Reported_By,Planned_Start,Actual_Start,Actual_End,Downtime_Hours,Work_Order_ID,Status
MNT0011,DRL-001,2026-07-04 11:00:00,Urgent,Breakdown,ELC03,Scheduled service,OP1001,2026-07-05 11:00:00,2026-07-05 09:00:00,2026-07-05 11:00:00,2,WO-10011,In Progress
MNT0012,TRK-001,2026-07-04 18:00:00,P2,Breakdown,ENG01,Intermittent sensor alarm,SYSTEM,2026-07-05 18:00:00,2026-07-01 18:00:00,2026-07-06 04:00:00,2,WO-10012,Closed
MNT0013,TRK-002,2026-07-05 01:00:00,P3,Breakdown,ENG01,High temperature warning,SYSTEM,2026-07-06 01:00:00,2026-07-06 04:00:00,2026-07-06 06:00:00,2,WO-10013,Closed
MNT0014,TRK-003,2026-07-05 08:00:00,P3,Breakdown,ENG01,Intermittent sensor alarm,OP1001,2026-07-06 08:00:00,2026-07-06 16:00:00,2026-07-06 20:00:00,4,WO-10014,In Progress
MNT0015,EXC-001,2026-07-05 15:00:00,Urgent,Planned,ENG01,Scheduled service,OP1001,2026-07-06 15:00:00,2026-07-06 15:00:00,2026-07-06 23:00:00,8,WO-10015,In Progress
MNT0016,EXC-002,2026-07-05 22:00:00,P2,Inspection,HYD02,Scheduled service,SUP01,2026-07-06 22:00:00,2026-07-06 20:00:00,2026-07-07 04:00:00,8,WO-10016,In Progress
MNT0017,DRL-001,2026-07-06 05:00:00,P1,Breakdown,HYD02,Hydraulic leak,SYSTEM,2026-07-07 05:00:00,2026-07-07 03:00:00,2026-07-07 04:00:00,1,WO-10017,Closed
MNT0018,TRK-001,2026-07-06 12:00:00,P1,Breakdown,HYD02,Hydraulic leak,OP1001,2026-07-07 12:00:00,2026-07-07 12:00:00,2026-07-07 14:00:00,2,WO-10018,Open
MNT0019,TRK-002,2026-07-06 19:00:00,Urgent,Breakdown,ELC03,Hydraulic leak,OP1001,2026-07-07 19:00:00,2026-07-07 19:00:00,2026-07-07 23:00:00,4,WO-10019,Closed
MNT0020,TRK-001,2026-07-07 02:00:00,Urgent,Breakdown,HYD02,Intermittent sensor alarm,SUP01,2026-07-08 02:00:00,2026-07-08 05:00:00,2026-07-08 07:00:00,2,WO-10020,Open
MNT0021,EXC-001,2026-07-07 09:00:00,P1,Inspection,HYD02,Scheduled service,SUP01,2026-07-08 09:00:00,2026-07-08 12:00:00,2026-07-08 14:00:00,2,WO-10021,Open
MNT0022,EXC-002,2026-07-07 16:00:00,P3,Breakdown,ENG01,Intermittent sensor alarm,OP1001,2026-07-08 16:00:00,2026-07-09 00:00:00,2026-07-09 02:00:00,2,WO-10022,Open
MNT0023,DRL-001,2026-07-07 23:00:00,Urgent,Breakdown,ELC03,Hydraulic leak,OP1001,2026-07-08 23:00:00,2026-07-08 23:00:00,2026-07-09 07:00:00,8,WO-10023,Closed
MNT0024,TRK-001,2026-07-08 06:00:00,Urgent,Inspection,ENG01,Intermittent sensor alarm,OP1001,2026-07-09 06:00:00,2026-07-09 06:00:00,2026-07-09 14:00:00,8,WO-10024,Closed
MNT0025,TRK-002,2026-07-08 13:00:00,Urgent,Breakdown,ELC03,High temperature warning,SUP01,2026-07-09 13:00:00,2026-07-09 16:00:00,2026-07-10 00:00:00,8,WO-10025,In Progress
MNT0026,TRK-003,2026-07-08 20:00:00,P1,Breakdown,HYD02,High temperature warning,OP1001,2026-07-09 20:00:00,2026-07-09 20:00:00,2026-07-10 00:00:00,4,WO-10026,In Progress
MNT0027,EXC-001,2026-07-09 03:00:00,P1,Breakdown,ENG01,Hydraulic leak,SYSTEM,2026-07-10 03:00:00,2026-07-10 03:00:00,2026-07-10 05:00:00,2,WO-10027,Open
MNT0028,EXC-002,2026-07-09 10:00:00,P2,Inspection,UNK,High temperature warning,SUP01,2026-07-10 10:00:00,2026-07-10 18:00:00,2026-07-10 19:00:00,1,WO-10028,Open
MNT0029,DRL-001,2026-07-09 17:00:00,Urgent,Inspection,HYD02,Intermittent sensor alarm,OP1001,2026-07-10 17:00:00,2026-07-10 17:00:00,,18,WO-10029,In Progress
MNT0030,TRK-001,2026-07-10 00:00:00,P3,Inspection,HYD02,Intermittent sensor alarm,SUP01,2026-07-11 00:00:00,2026-07-10 22:00:00,2026-07-10 23:00:00,1,WO-10030,In Progress
MNT0031,TRK-002,2026-07-10 07:00:00,Urgent,Breakdown,HYD02,Intermittent sensor alarm,SYSTEM,2026-07-11 07:00:00,2026-07-11 15:00:00,2026-07-11 23:00:00,8,WO-10031,In Progress
MNT0032,TRK-003,2026-07-10 14:00:00,P3,Breakdown,ELC03,High temperature warning,SYSTEM,2026-07-11 14:00:00,2026-07-11 22:00:00,2026-07-12 00:00:00,2,WO-10032,In Progress
MNT0033,EXC-001,2026-07-10 21:00:00,Urgent,Planned,ELC03,Hydraulic leak,SUP01,2026-07-11 21:00:00,2026-07-11 21:00:00,2026-07-11 23:00:00,2,WO-10033,In Progress
MNT0034,EXC-002,2026-07-11 04:00:00,P3,Breakdown,HYD02,Scheduled service,SYSTEM,2026-07-12 04:00:00,2026-07-12 07:00:00,2026-07-12 11:00:00,4,WO-10034,Open
MNT0035,DRL-001,2026-07-11 11:00:00,P2,Breakdown,ELC03,Intermittent sensor alarm,SUP01,2026-07-12 11:00:00,2026-07-12 09:00:00,2026-07-12 17:00:00,8,WO-10035,Open
MNT0036,TRK-001,2026-07-11 18:00:00,P3,Inspection,HYD02,Hydraulic leak,SYSTEM,2026-07-12 18:00:00,2026-07-12 16:00:00,2026-07-12 18:00:00,2,WO-10036,Closed
MNT0037,TRK-002,2026-07-12 01:00:00,P1,Breakdown,UNK,High temperature warning,SYSTEM,2026-07-13 01:00:00,2026-07-12 23:00:00,2026-07-13 07:00:00,8,WO-10037,Open
MNT0038,TRK-003,2026-07-12 08:00:00,P2,Breakdown,UNK,Hydraulic leak,OP1001,2026-07-13 08:00:00,2026-07-13 11:00:00,2026-07-13 12:00:00,1,WO-10038,Closed
MNT0039,EXC-001,2026-07-12 15:00:00,P2,Breakdown,HYD02,Hydraulic leak,OP1001,2026-07-13 15:00:00,2026-07-13 23:00:00,2026-07-14 03:00:00,4,WO-10039,Open
MNT0040,EXC-002,2026-07-12 22:00:00,P1,Breakdown,UNK,Scheduled service,OP1001,2026-07-13 22:00:00,2026-07-13 20:00:00,2026-07-14 04:00:00,8,WO-10040,Open
MNT0041,DRL-001,2026-07-13 05:00:00,P1,Planned,HYD02,High temperature warning,OP1001,2026-07-14 05:00:00,2026-07-14 03:00:00,2026-07-14 04:00:00,1,WO-10041,Closed
MNT0042,TRK-001,2026-07-13 12:00:00,P1,Planned,ELC03,High temperature warning,OP1001,2026-07-14 12:00:00,2026-07-14 20:00:00,2026-07-15 04:00:00,8,WO-10042,Closed
MNT0043,TRK-002,2026-07-13 19:00:00,P2,Inspection,ENG01,Intermittent sensor alarm,OP1001,2026-07-14 19:00:00,2026-07-15 03:00:00,2026-07-15 11:00:00,8,WO-10043,Closed
MNT0044,TRK-003,2026-07-14 02:00:00,Urgent,Breakdown,ENG01,Intermittent sensor alarm,SUP01,2026-07-15 02:00:00,2026-07-15 05:00:00,2026-07-15 13:00:00,8,WO-10044,Open
MNT0045,EXC-001,2026-07-14 09:00:00,P3,Inspection,ELC03,Hydraulic leak,OP1001,2026-07-15 09:00:00,2026-07-15 12:00:00,2026-07-15 14:00:00,2,WO-10045,Open
