Delay_ID,Equipment_Name,Start_Time,End_Time,Duration,Duration_Unit,Delay_Category,Cause_Code,Operator_ID,Approved_By,Comment
DLY0015,EXC-001,2026-07-05 00:00:00,2026-07-05 00:30:00,30.0,minutes,Mechanical,ENG,OP1008,SUP02,rain delay
DLY0016,EXC-002,2026-07-05 06:00:00,2026-07-05 06:30:00,30.0,minutes,Operational,ENV,OP1001,,unknown
DLY0017,DRL-001,2026-07-05 12:00:00,2026-07-05 12:45:00,45.0,minutes,Mechanical,ENG,OP1002,SUP02,
DLY0018,TRK-001,2026-07-05 18:00:00,2026-07-05 20:00:00,120.0,minutes,Mechanical,UNK,OP1003,,operator reported vibration
DLY0019,TRK-002,2026-07-06 00:00:00,2026-07-06 01:30:00,90.0,minutes,No Operator,OPS,OP1004,SUP01,
DLY0020,TRK-003,2026-07-06 06:00:00,2026-07-06 08:00:00,120.0,minutes,No Operator,ENG,OP1005,SUP01,
DLY0021,EXC-001,2026-07-06 12:00:00,2026-07-06 12:30:00,,minutes,Mechanical,UNK,OP1006,SUP01,awaiting spares
DLY0022,EXC-002,2026-07-06 18:00:00,2026-07-06 19:30:00,90.0,minutes,No Operator,ENG,OP1007,SUP01,unknown
DLY0023,DRL-001,2026-07-07 00:00:00,2026-07-07 02:00:00,120.0,minutes,Weather,ENV,OP1008,,unknown
DLY0024,TRK-001,2026-07-07 06:00:00,2026-07-07 06:30:00,30.0,minutes,Mechanical,OPS,OP1001,SUP02,awaiting spares
DLY0025,TRK-002,2026-07-07 12:00:00,2026-07-07 14:00:00,120.0,minutes,No Operator,ENG,OP1002,SUP01,rain delay
DLY0026,TRK-003,2026-07-07 18:00:00,2026-07-07 19:30:00,90.0,minutes,Other,ENV,OP1003,SUP02,awaiting spares
DLY0027,EXC-001,2026-07-08 00:00:00,2026-07-08 02:00:00,120.0,minutes,Operational,UNK,OP1004,,rain delay
DLY0028,EXC-002,2026-07-08 06:00:00,2026-07-08 07:00:00,60.0,minutes,Other,ENV,OP1005,SUP02,
DLY0029,DRL-001,2026-07-08 12:00:00,2026-07-08 13:30:00,90.0,minutes,Mechanical,ENV,OP1006,,rain delay
DLY0030,TRK-001,2026-07-08 18:00:00,2026-07-08 19:00:00,60.0,minutes,No Operator,ENG,OP1007,SUP01,unknown
DLY0031,TRK-002,2026-07-09 00:00:00,2026-07-09 01:00:00,14400.0,minutes,Mechanical,OPS,OP1008,SUP02,
DLY0032,TRK-003,2026-07-09 06:00:00,2026-07-09 06:15:00,15.0,minutes,Mechanical,OPS,OP1001,,unknown
DLY0033,EXC-001,2026-07-09 12:00:00,2026-07-09 12:30:00,30.0,minutes,Mechanical,ENG,OP1002,SUP01,awaiting spares
DLY0034,EXC-002,2026-07-09 18:00:00,2026-07-09 20:00:00,120.0,minutes,Operational,UNK,OP1003,,
DLY0035,DRL-001,2026-07-10 00:00:00,2026-07-10 01:30:00,90.0,minutes,Other,UNK,OP1004,,rain delay
DLY0036,TRK-001,2026-07-10 06:00:00,2026-07-10 06:45:00,45.0,minutes,Mechanical,ENV,OP1005,SUP02,
DLY0037,TRK-002,2026-07-10 12:00:00,2026-07-10 12:45:00,45.0,minutes,Operational,OPS,OP1006,,awaiting spares
DLY0038,TRK-003,2026-07-10 18:00:00,2026-07-10 19:30:00,90.0,minutes,No Operator,ENV,OP1007,SUP02,awaiting spares
DLY0039,EXC-001,2026-07-11 00:00:00,2026-07-11 02:00:00,120.0,minutes,Weather,ENG,OP1008,SUP01,awaiting spares
DLY0040,EXC-002,2026-07-11 06:00:00,2026-07-11 07:00:00,60.0,minutes,Operational,OPS,OP1001,SUP01,
DLY0041,DRL-001,2026-07-11 12:00:00,2026-07-11 13:30:00,90.0,minutes,Weather,ENV,OP1002,SUP02,operator reported vibration
DLY0042,TRK-001,2026-07-11 18:00:00,2026-07-11 19:00:00,60.0,minutes,Other,ENV,OP1003,SUP01,awaiting spares
DLY0043,TRK-002,2026-07-12 00:00:00,2026-07-12 00:15:00,15.0,minutes,Mechanical,UNK,OP1004,SUP02,
DLY0044,TRK-003,2026-07-12 06:00:00,2026-07-12 06:45:00,45.0,minutes,Weather,UNK,OP1005,SUP02,rain delay
DLY0045,EXC-001,2026-07-12 12:00:00,2026-07-12 12:30:00,30.0,minutes,No Operator,UNK,OP1006,SUP02,operator reported vibration
